logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance	ID
NT5DC2	1.31034612559881	5.34503758735033	19.7629694412289	1.76084143916216e-73	1.49741555795114e-71	156.402962688365	Upregulated	NT5DC2
CLCN4	1.99150739657595	1.82668527281902	19.7355116172354	2.5991615545888e-73	2.18548601053543e-71	156.174179051972	Upregulated	CLCN4
PRRT3	-1.69284891005596	3.71225759522223	-19.7357594150975	2.5900463414121e-73	2.18548601053543e-71	156.143558961469	Downregulated	PRRT3
SLC4A8	-2.73489489494546	3.92190988549258	-19.7185746175361	3.30444288083619e-73	2.76299422332264e-71	155.896735679428	Downregulated	SLC4A8
SUOX	-0.845837699125862	5.19194856371535	-19.7017720993274	4.19273504063312e-73	3.46699808580972e-71	155.55220010039	Not Significant	SUOX
TTC39A	-1.79371883677336	6.56859096413983	-19.7019735953342	4.18078349717103e-73	3.46699808580972e-71	155.514769036274	Downregulated	TTC39A
SLC16A6	-3.05772996993476	3.12982233401943	-19.6881476961345	5.08523869610283e-73	4.1590583368618e-71	155.504706767653	Downregulated	SLC16A6
EXOC6	-1.03366245025997	4.96290327675069	-19.6941930622751	4.66793538189576e-73	3.83873565169417e-71	155.46202490131	Downregulated	EXOC6
UQCRHL	1.00815244596698	4.3775803495442	19.6514620793822	8.54806897373548e-73	6.95320371358146e-71	154.887363510135	Upregulated	UQCRHL
EN1	3.42173390574398	1.30408332501194	19.6204620793428	1.32533570843864e-72	1.07223240801087e-70	154.545880003089	Upregulated	EN1
HHAT	-1.28605898660394	4.2272993388847	-19.601516833323	1.73243799760207e-72	1.3940537371027e-70	154.210537796827	Downregulated	HHAT
SCCPDH	-1.40212536158839	6.52887461200446	-19.5911773918999	2.00505220728916e-72	1.60479232013352e-70	153.948066006336	Downregulated	SCCPDH
ADAMTS15	-3.41093733323315	2.71595637365207	-19.573097576653	2.58864510355428e-72	2.06086442898388e-70	153.891177495057	Downregulated	ADAMTS15
PCSK4	-2.25362637414983	1.33657726911738	-19.5552284629191	3.33182831377768e-72	2.63849070752966e-70	153.585687254576	Downregulated	PCSK4
CPLX1	-1.89521544548483	2.18946181736484	-19.4947024677561	7.82758543998728e-72	6.16607743580471e-70	152.787328777024	Downregulated	CPLX1
C19orf21	-2.88056123082383	4.51883183746621	-19.4898388950759	8.38326769928453e-72	6.56923390864877e-70	152.643254953591	Downregulated	C19orf21
